抽せん日,候補_3桁,予測番号,百,十,一,joint_prob,model_name,feature_set,gen_at,source,EV_gross,EV_net,price,expected_payout
2025-12-15,823,823,8,2,3,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,801,801,8,0,1,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,809,809,8,0,9,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,945,945,9,4,5,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,263,263,2,6,3,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,280,280,2,8,0,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,290,290,2,9,0,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,364,364,3,6,4,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,139,139,1,3,9,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,138,138,1,3,8,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,314,314,3,1,4,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,315,315,3,1,5,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,128,128,1,2,8,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,470,470,4,7,0,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,415,415,4,1,5,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,215,215,2,1,5,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,213,213,2,1,3,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,229,229,2,2,9,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,227,227,2,2,7,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,249,249,2,4,9,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,187,187,1,8,7,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,186,186,1,8,6,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,194,194,1,9,4,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,203,203,2,0,3,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,169,169,1,6,9,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,984,984,9,8,4,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,992,992,9,9,2,0.0,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,0.0,-200.0,200.0,0.0
2025-12-15,991,991,9,9,1,0.0,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,0.0,-200.0,200.0,0.0
2025-12-15,990,990,9,9,0,0.0,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,0.0,-200.0,200.0,0.0
2025-12-15,989,989,9,8,9,0.0,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,0.0,-200.0,200.0,0.0
2025-12-15,988,988,9,8,8,0.0,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,0.0,-200.0,200.0,0.0
2025-12-15,987,987,9,8,7,0.0,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,0.0,-200.0,200.0,0.0
2025-12-15,986,986,9,8,6,0.0,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,0.0,-200.0,200.0,0.0
2025-12-15,985,985,9,8,5,0.0,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,0.0,-200.0,200.0,0.0
2025-12-15,983,983,9,8,3,0.0,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,0.0,-200.0,200.0,0.0
2025-12-15,982,982,9,8,2,0.0,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,0.0,-200.0,200.0,0.0
