抽せん日,候補_3桁,joint_prob,EV_net,hit,回号,date_key,候補_3桁_pick,EV_net_adj_pick,joint_prob_pick,予測番号,百,十,一,EV_gross,price,expected_payout,model_name,feature_set,gen_at,source,当選番号3
2025-11-17,943,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,943.0,9.0,4.0,3.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,487,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,487.0,4.0,8.0,7.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,896,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,896.0,8.0,9.0,6.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,914,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,914.0,9.0,1.0,4.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,915,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,915.0,9.0,1.0,5.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,917,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,917.0,9.0,1.0,7.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,918,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,918.0,9.0,1.0,8.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,919,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,919.0,9.0,1.0,9.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,920,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,920.0,9.0,2.0,0.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,921,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,921.0,9.0,2.0,1.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,922,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,922.0,9.0,2.0,2.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,923,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,923.0,9.0,2.0,3.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,924,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,924.0,9.0,2.0,4.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,925,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,925.0,9.0,2.0,5.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,926,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,926.0,9.0,2.0,6.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,927,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,927.0,9.0,2.0,7.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,897,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,897.0,8.0,9.0,7.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,882,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,882.0,8.0,8.0,2.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,898,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,898.0,8.0,9.0,8.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,899,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,899.0,8.0,9.0,9.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,900,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,900.0,9.0,0.0,0.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,902,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,902.0,9.0,0.0,2.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,903,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,903.0,9.0,0.0,3.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,904,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,904.0,9.0,0.0,4.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,905,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,905.0,9.0,0.0,5.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,906,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,906.0,9.0,0.0,6.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,907,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,907.0,9.0,0.0,7.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,909,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,909.0,9.0,0.0,9.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,910,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,910.0,9.0,1.0,0.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,911,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,911.0,9.0,1.0,1.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,746,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,746.0,7.0,4.0,6.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
