回号,抽せん日,当せん番号,ストレート_口数,ストレート_金額,ボックス_口数,ボックス_金額,セットS_口数,セットS_金額,セットB_口数,セットB_金額,ミニ_口数,ミニ_金額,パターン,百の位,十の位,一の位,合計,最大,最小,最大-最小,曜日_int,曜日,パターン_code
6234,2023-06-16,377,208,73600,300,24500,177,49000,366,12200,914,7300,2桁一致,3,7,7,17,7,3,4,4,金曜日,1
6235,2023-06-19,893,96,81900,658,13600,306,47700,1187,6800,937,8100,全て異なる,8,9,3,20,9,3,6,0,月曜日,0
6236,2023-06-20,499,88,100400,204,33400,141,66900,302,16700,689,10000,2桁一致,4,9,9,22,9,4,5,1,火曜日,1
6237,2023-06-21,941,204,72500,485,12000,190,42200,1040,6000,562,7200,全て異なる,9,4,1,14,9,1,8,2,水曜日,0
6238,2023-06-22,357,243,63100,463,10500,242,36800,962,5200,480,6300,全て異なる,3,5,7,15,7,3,4,3,木曜日,0
6239,2023-06-23,781,41,119100,480,19800,124,69400,1195,9900,472,11900,全て異なる,7,8,1,16,8,1,7,4,金曜日,0
6240,2023-06-26,600,101,91300,300,30400,203,60800,286,15200,1379,9100,2桁一致,6,0,0,6,6,0,6,0,月曜日,1
6241,2023-06-27,305,86,89800,492,14900,194,52300,935,7400,459,8900,全て異なる,3,0,5,8,5,0,5,1,火曜日,0
6242,2023-06-28,342,60,102700,504,17100,100,59900,1079,8500,756,10200,全て異なる,3,4,2,9,4,2,2,2,水曜日,0
6243,2023-06-29,795,202,82400,362,13700,158,48000,835,6800,393,8200,全て異なる,7,9,5,21,9,5,4,3,木曜日,0
6244,2023-06-30,455,235,71500,289,23800,125,47600,416,11900,885,7100,2桁一致,4,5,5,14,5,4,1,4,金曜日,1
6245,2023-07-03,430,136,90800,520,15100,226,52900,1033,7500,842,9000,全て異なる,4,3,0,7,4,0,4,0,月曜日,0
6246,2023-07-04,921,105,68800,585,11400,289,40100,1361,5700,521,6800,全て異なる,9,2,1,12,9,1,8,1,火曜日,0
