抽せん日,番号,rank,joint_prob,expected_payout,price,EV_gross,EV_net,百,十,一,候補_3桁,feature_set,model_name
2025-11-03,369,258,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,3,6,9,369,V5_joint,CalibratedJoint
2025-11-03,370,259,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,3,7,0,370,V5_joint,CalibratedJoint
2025-11-03,373,260,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,3,7,3,373,V5_joint,CalibratedJoint
2025-11-03,376,261,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,3,7,6,376,V5_joint,CalibratedJoint
2025-11-03,377,262,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,3,7,7,377,V5_joint,CalibratedJoint
2025-11-03,378,263,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,3,7,8,378,V5_joint,CalibratedJoint
2025-11-03,384,264,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,3,8,4,384,V5_joint,CalibratedJoint
2025-11-03,385,265,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,3,8,5,385,V5_joint,CalibratedJoint
2025-11-03,386,266,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,3,8,6,386,V5_joint,CalibratedJoint
2025-11-03,387,267,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,3,8,7,387,V5_joint,CalibratedJoint
2025-11-03,388,268,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,3,8,8,388,V5_joint,CalibratedJoint
2025-11-03,389,269,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,3,8,9,389,V5_joint,CalibratedJoint
2025-11-03,391,270,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,3,9,1,391,V5_joint,CalibratedJoint
2025-11-03,392,271,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,3,9,2,392,V5_joint,CalibratedJoint
2025-11-03,395,272,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,3,9,5,395,V5_joint,CalibratedJoint
2025-11-03,398,273,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,3,9,8,398,V5_joint,CalibratedJoint
2025-11-03,400,274,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,0,0,400,V5_joint,CalibratedJoint
2025-11-03,406,275,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,0,6,406,V5_joint,CalibratedJoint
2025-11-03,408,276,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,0,8,408,V5_joint,CalibratedJoint
2025-11-03,409,277,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,0,9,409,V5_joint,CalibratedJoint
2025-11-03,412,278,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,1,2,412,V5_joint,CalibratedJoint
2025-11-03,413,279,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,1,3,413,V5_joint,CalibratedJoint
2025-11-03,414,280,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,1,4,414,V5_joint,CalibratedJoint
2025-11-03,415,281,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,1,5,415,V5_joint,CalibratedJoint
2025-11-03,418,282,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,1,8,418,V5_joint,CalibratedJoint
2025-11-03,419,283,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,1,9,419,V5_joint,CalibratedJoint
2025-11-03,421,284,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,2,1,421,V5_joint,CalibratedJoint
2025-11-03,424,285,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,2,4,424,V5_joint,CalibratedJoint
2025-11-03,426,286,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,2,6,426,V5_joint,CalibratedJoint
2025-11-03,428,287,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,2,8,428,V5_joint,CalibratedJoint
2025-11-03,429,288,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,2,9,429,V5_joint,CalibratedJoint
2025-11-03,430,289,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,3,0,430,V5_joint,CalibratedJoint
2025-11-03,431,290,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,3,1,431,V5_joint,CalibratedJoint
2025-11-03,432,291,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,3,2,432,V5_joint,CalibratedJoint
2025-11-03,433,292,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,3,3,433,V5_joint,CalibratedJoint
2025-11-03,435,293,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,3,5,435,V5_joint,CalibratedJoint
2025-11-03,438,294,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,3,8,438,V5_joint,CalibratedJoint
2025-11-03,443,295,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,4,3,443,V5_joint,CalibratedJoint
2025-11-03,445,296,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,4,5,445,V5_joint,CalibratedJoint
2025-11-03,447,297,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,4,7,447,V5_joint,CalibratedJoint
2025-11-03,448,298,0.0014601068752318,131.409618770862,200.0,131.409618770862,-68.59038122913799,4,4,8,448,V5_joint,CalibratedJoint
